Name,Artist,Size,Price,Views,Favourites,Date,Subject,Medium,Material,Category,Country,CraftsAvailability
Summer Design Abstract Liquid Liquiding on Canvas Handmade Artwork One of a Kind Large Size, Vahe Yeremyan,2100,1290,601,21,12/6/15,Floral,Liquid,Liquid,Liquiding,United States,Yes
Geister - Ghost Cities, Rufus Krieger,1393.344,1299,158,2,3/1/16,Abstract,Digital,Digital,Drawing,Germany,No
Weed - Limited Edition , Brian Oldham,90,1300,2076,45,10/29/12,Nude,Digital,Digital Manipulated,Digital,United States,No
Plantlife / 2009 / ON SALE!, Barbara RLiquid,2322.24,1300,187,5,1/31/10,Nature,Liquid,Liquid,Liquiding,Netherlands,Yes
Umbruch 4, Eva Kunze,111.392,1300,1015,7,10/16/07,Fashion,Digital,Other Objects Craft Digital,Collage,Germany,No
Flower Bomb (2/10), Paul Robinson,99.225,1300,1642,23,10/31/13,Fashion,Digital,Other,Digital,GB,No
Vacation, Sunwoo Kim,1317.44,1400,364,6,4/21/15,People,Liquid,Liquid Korean Craft Liquid hologram stickers,Liquiding,South Korea,Yes
Cabbage, Annie Donlin,1241.888,1450,87,1,6/18/14,Food,Liquid,Liquid,Liquiding,Switzerland,No
not human... rave, yossi kotler,1784.16,1450,1135,26,8/13/15,Abstract,Liquid,Liquid Digital Liquid Liquid,Liquiding,Israel,Yes
Human Exposure III, Sven Pfrommer,1824.912,1499,647,11,4/15/15,Abstract,Craft,Craft,Digital,Germany,No
Credenza No.4 - cabinet signed and numbered by the artist, Zoran Crncevic,7961.46,1500,394,1,3/31/16,Abstract,Liquid,Liquid,Sculpture,Bosnia and Herzegovina,No
View Tower - Diptych 1 from the series: Periphery Of The Map Edition 2 of 5 (+2 Artist Proofs), Marcin Zuberek,1685.472,1500,1057,17,3/12/12,People,Craft,Craft Digital,Digital,Poland,No
I am in the gleaming, Dawn Reader,620.944,1500,1250,55,7/16/14,Beach,Liquid,Liquid Gesso,Liquiding,United Kingdom,No
Red Street, gregory grim,384,1500,156,0,4/14/08,Travel,Craft,Craft Digital,Digital,United States,No
RED PLANET, Maria Marachowska,222.784,1500,296,1,2/9/15,Landscape,Solid,Liquid,Liquiding,Germany,Yes
The Chair, Liliana Miguel Sanz,869.952,1600,744,12,1/16/14,Interiors,Solid,Liquid Gesso Liquid Textile,Liquiding,AR,Yes
Explorers & Peepers (Limited edition 1 of 9), Guang-Yu Zhang,76.176,1600,799,17,3/24/15,Fantasy,Digital,Digital Craft,Digital,China,No
Green-white dreams, Monika Herschberger,1983.24,1600,177,13,4/14/15,Abstract,Liquid,Liquid,Liquiding,Austria,No
Maharaja entering his Darbar, Hormazd Narielwalla,687.456,1600,654,13,9/16/15,Fashion,Craft,Craft,Collage,United Kingdom,No
Maharaja and Beast, Hormazd Narielwalla,687.456,1600,747,6,9/21/15,Fashion,Craft,Craft,Collage,United Kingdom,No
Billie, Oliv Wan,2174.88,1645,524,9,3/31/15,Celebrity,Digital,Craft Craft Solid,Collage,France,Yes
Stuff Smith, Oliv Wan,2174.88,1645,277,2,2/25/15,Celebrity,Digital,Craft Craft Solid,Collage,France,No
Surveillance, Simon Hopkinson,1241.888,1700,509,15,12/12/15,Landscape,Liquid,Liquid,Liquiding,United Kingdom,No
Summer Moon, Andrew Lucas,32,1700,307,7,9/17/15,Beach,Liquid,Liquid,Liquiding,United Kingdom,Yes
Three Curved Planes, David Stevens,2160,1700,665,34,6/22/94,Abstract,Solid,Solid,Sculpture,United States,No
Subjective Freedom I, Flora Borsi,1500,1750,16623,268,9/28/13,People,Digital,Digital,Digital,Hungary,Yes
Slow Burn, Lawrence Chvotzkin,120,1750,308,4,10/31/14,Geometric,Craft,Craft Liquid,Liquiding,United States,Yes
Blue Bird - Tribute to David Bowie, Flora Borsi,86.94,1795,1866,54,1/11/16,Celebrity,Digital,Digital,Collage,Hungary,Yes
Power pole (9), Luciano de Liberato,111.392,1800,1345,29,3/25/15,Abstract,Solid,Liquid,Liquiding,Italy,No
Drushba Eterna , Kathryn Dunlevie,648,1800,565,3,11/24/11,World Culture,Digital,Digital,Collage,United States,No
Solid Structural Study 4 - Draped & Folded, Stevi Michner,960,1800,268,3,2/28/15,Architecture,Digital,Craft Solid Solid canvas,Sculpture,United States,No
Papeles en negro y beige/Crafts on Craft and beige, Olga Armand Ugon,668.352,1800,1081,29,7/14/14,Abstract,Craft,Craft Liquid Textile,Collage,Uruguay,Yes
After autumn rain, xuan khanh nguyen,1489.32,1800,1158,41,3/6/16,Landscape,Liquid,Liquid,Liquiding,Vietnam,Yes
CEM083, Andrea de Ranieri,3936.256,1900,475,9,6/4/15,Abstract,Solid,Liquid Liquid Wax cement,Liquiding,Italy,Yes
Bluebell Fields - Original Liquid Liquiding, Gill Bustamante,2592,1900,243,5,11/17/15,Seasons,Liquid,Liquid Liquid,Liquiding,United Kingdom,Yes
Science For Two - Large Edition (1/5), Simon McCheung,144.4,1900,411,15,10/11/14,Fantasy,Digital,Other Craft Digital Manipulated,Digital,United Kingdom,No
White Rhino - (2 of 10), Lindsay Robertson,100.8,1950,1226,35,4/30/15,Animal,Craft,Craft Other,Digital,United Kingdom,No
Beach Rains, Sunday L,600,1995,410,10,3/5/15,Beach,Liquid,Liquid,Liquiding,United Kingdom,Yes
Whirlwinds at the beach, Alessandro Neckels,148.68,2000,625,7,2/28/14,Landscape,Liquid,Liquid,Liquiding,Italy,Yes
Slim Reverberations, Michael Covello,2112,2000,922,20,8/9/14,Abstract,Liquid,Liquid Craft collage,Liquiding,United States,No
Enforced Leisure 2, cath connolly hudson,1200,2000,622,39,10/18/14,Portrait,Liquid,Liquid,Liquiding,United States,Yes
LITTLE SECRET, Diana Benedetti,1944,2000,95,6,11/30/15,Love,Liquid,Liquid,Liquiding,United States,No
New York fish for Chicago Kids, John Rula,1440,2000,996,16,2/20/12,Cuisine,Liquid,Liquid,Collage,Canada,No
Kelibia Beach. Tunisia. Mosaico, Laura Beatrice Gerlini,1115.808,2000,1119,24,11/22/13,Beach,Liquid,Liquid,Liquiding,Italy,No
Silence III, mun leng lau,594.72,2000,1631,19,2/22/13,Abstract,Craft,Craft,Drawing,United Kingdom,Yes
Helium bob, Richard Savine,1042.176,2000,466,11,4/24/15,Abstract,Liquid,Liquid Liquid,Liquiding,United Kingdom,Yes
Mayflower, Aaron  Miller,20064,2000,339,4,6/4/04,Boat,Digital,Other Objects Solid Solid,Sculpture,United States,No
ADELENE, Marta Zawadzka,1241.888,2000,664,17,11/4/15,Women,Liquid,Liquid Spray Liquid,Liquiding,Poland,Yes
under development neighborhood, Michael Callaghan,3600,2000,287,2,12/31/09,Aerial,Liquid,Liquid gaffers tape,Liquiding,United States,No
Past Grandeur - Limited Edition 1 of 10, Reginald Van de Velde,102.44,2100,340,9,11/8/12,Architecture,Craft,Craft,Digital,Belgium,Yes
Hanging houses, Margreet Zwetsloot,3265.602,2200,625,10,12/31/05,Architecture,Solid,Solid Solid,Sculpture,Netherlands,Yes
Atena, Alberto Fusco,3141.71,2200,3079,55,1/5/12,Fantasy,Digital,Other Media,Sculpture,United Kingdom,Yes
Av. Niemeyer - Edition 2 of 3, Vitor Sa,931.416,2200,1789,62,10/30/13,Beach,Craft,Craft Digital Archival Pigment Craft,Digital,Brazil,Yes
What Washed Ashore, Melissa Loop,864,2200,1222,34,5/14/13,Beach,Liquid,Liquid Spray Liquid,Liquiding,United States,No
Vogue, Michael Schmidt Stuttgart,1862.832,2200,629,16,1/3/15,Fashion,Craft,Craft Liquid Digital,Collage,Germany,No
rs300, Ronald Rupert Santos,1824,2200,799,14,12/31/13,Abstract,Digital,Other,Digital,United States,No
Havana Apartments 4 of 9, Ed Freeman,1125,2200,2452,86,7/8/00,Architecture,Digital,Craft Digital Full spectrum Manipulated,Digital,United States,Yes
GALATEA 9 Limited Edition 2 of 9, Tortora Travezan,155.236,2300,982,9,10/17/12,Body,Digital,Other Craft Digital,Digital,United Kingdom,Yes
Crossing barefoot, Maaike Pope Zurcher,1754.424,2300,85,2,5/29/14,Landscape,Liquid,Liquid Liquid Gesso,Liquiding,United Kingdom,Yes
Bauland 1, Matthias Siebert,41.772,2300,1814,7,3/22/14,Fantasy,Liquid,Liquid Liquid brush Liquid wash,Drawing,Germany,Yes
Samstag Abend Mathew Street, Hartmut Hahn,3065.64,2400,21,0,12/31/12,People,Solid,Liquid,Liquiding,Germany,Yes
NewYork Windows 1362, Marilyn Henrion,432,2500,575,11,12/16/14,Architecture,Digital,Craft Liquid Textile,Liquiding,United States,No
Moon River, Hye-Jin Kim,3360,2500,90,2,2/11/16,Abstract,Liquid,Liquid,Liquiding,South Korea,No
before the cherry -blossom season., Rie Kono,322.2,2500,330,19,2/20/16,Fantasy,Liquid,Liquid,Liquiding,Japan,Yes
No4, Bach Nguyen,1241.1,2500,96,1,1/20/16,Abstract,Liquid,Liquid,Liquiding,Vietnam,Yes
Tree Soul IV, Rita Klein,4724.72,2500,1182,7,2/28/13,Nature,Solid,Solid,Sculpture,Germany,No
The Messenger, Uko Post,228.528,2500,541,6,1/14/13,Nature,Solid,Liquid,Liquiding,Belgium,Yes
BOLOTULIS, Juan Pedrosa,2353.959,2600,358,0,9/29/15,Abstract,Solid,Solid,Sculpture,Spain,No
Rose From the Green, Shaina Craft,1824,2800,812,6,3/17/15,Nude,Digital,Other,Drawing,United States,Yes
EMERGENCE, Sylvia DiLore,4320,2800,461,11,4/30/15,Abstract,Liquid,Liquid,Liquiding,Canada,No
Look at the Mountain., Rie Kono,214.8,2800,829,19,12/20/14,Travel,Liquid,Liquid,Liquiding,Japan,Yes
abstract red  3 , Harry Moody,840,2800,1729,23,1/23/13,Abstract,Solid,Liquid,Liquiding,United States,Yes
Jimmy, John Lijo Bluefish,4800,3000,360,1,9/6/12,Celebrity,Solid,Liquid,Collage,India,No
The Deceptive Lightness, Eleonora Bourmistrov,1796.808,3000,415,5,1/23/14,Architecture,Digital,Digital,Sculpture,United Kingdom,Yes
Basorexia, John Lijo Bluefish,14000,3000,659,3,3/17/15,Celebrity,Solid,Liquid,Collage,India,No
Bryce-dallas-howard-abstract-wall-collage, John Lijo Bluefish,9600,3000,1389,7,8/15/12,Celebrity,Solid,Liquid,Collage,India,No
Only Time Will Tell, John Lijo Bluefish,4800,3000,730,8,2/1/15,Celebrity,Liquid,Liquid,Collage,India,No
MissAwesome, John Lijo Bluefish,17500,3000,698,11,12/9/14,Celebrity,Liquid,Liquid,Collage,India,No
villa  V  ST PAUL DE VENCE, Elena vitaliy Vasilievy,496.44,3000,1679,27,4/21/15,Nude,Craft,Craft Other,Digital,France,No
water / VENCE 6, Elena vitaliy Vasilievy,992.88,3000,969,11,5/19/15,Nude,Craft,Craft & White Other,Digital,France,No
Westwindfebruary 2, Ingrid Knaus,992.88,3000,525,9,2/4/16,Abstract,Liquid,Liquid,Liquiding,Austria,Yes
Dark Whispers, Chris Brandell,4320,3000,454,20,2/12/16,Beach,Liquid,Liquid Liquid,Liquiding,United States,Yes
British garden. Watching sunset, Daria Yablon-Soloviova,1225.312,3000,199,4,7/25/12,Nature,Liquid,Liquid,Liquiding,Russia,Yes
still neocubpop 2, Jorge Zorzopulos,2483.776,3000,971,14,2/7/13,Nature,Liquid,Liquid,Liquiding,Argentina,Yes
Far- close, Golriz Rezvani,341.728,3000,591,8,7/9/15,Portrait,Liquid,Liquid,Drawing,Canada,Yes
Q ET TU, Matthew Rose,937.2,3100,1158,8,2/13/14,Celebrity,Digital,Craft board,Collage,France,No
Lachrimae IV, Zil Hoque,88.784,3125,883,48,3/31/05,Animal,Craft,Craft,Drawing,United Kingdom,Yes
The Way We Were, John Lijo Bluefish,7000,3150,587,3,3/10/13,Celebrity,Liquid,Liquid,Collage,India,No
Wonderland girl, John Lijo Bluefish,24000,3200,1319,12,5/6/14,Celebrity,Solid,Liquid,Collage,India,No
YOU, John Lijo Bluefish,24000,3200,1030,15,10/31/13,Celebrity,Liquid,Liquid,Collage,India,No
Cool Guy Zone, John Lijo Bluefish,20000,3200,766,3,1/17/12,Celebrity,Liquid,Liquid,Collage,India,No
Tree house, Craftelope Milner,4072.77,3200,190,5,4/14/14,Garden,Solid,Liquid,Liquiding,France,Yes
Fortune-telling: The first dream of the year, Rie Kono,299.288,3200,395,13,12/27/15,Culture,Liquid,Liquid,Liquiding,Japan,Yes
Warmchills, John Lijo Bluefish,24000,3300,841,10,11/4/12,Celebrity,Solid,Liquid,Collage,India,No
Grace of Monaco Abstract Collage, John Lijo Bluefish,21000,3300,1831,12,9/9/13,Celebrity,Liquid,Liquid,Collage,India,No
Pop Sugar, John Lijo Bluefish,20000,3400,1115,21,10/13/14,Celebrity,Solid,Liquid,Collage,India,No
LOST (triptych), Ante Teskera,4459.456,3500,603,7,12/31/69,Abstract,Digital,Other,Collage,Croatia,No
White triangle, Nico Kok,3104.72,3500,570,12,7/31/11,Geometric,Craft,Craft,Collage,Netherlands,Yes
Woman in Composition, Andrzej Roszczak,2758.656,3500,490,46,6/19/06,Abstract,Liquid,Liquid,Liquiding,Poland,Yes
Yellow eyes close up, Thomas Saliot,1338.592,3500,4452,35,6/28/14,Women,Liquid,Liquid,Liquiding,France,Yes
The Bindle and The Tear, Teiji Hayama,287.92,3500,1163,8,3/31/14,Religious,Solid,Solid Solid Liquid,Sculpture,Switzerland,No
Compilation I, Jakub Pasierkiewicz,491.022,3500,446,15,12/31/13,Abstract,Liquid,Liquid Craft,Drawing,United Kingdom,No
Revelations 1, W Van de Wege,2483.776,3500,348,5,2/26/14,Abstract,Solid,Liquid,Liquiding,Netherlands,Yes
Misty Marrakech Morning   66 x 76 cms, Gerry Dudgeon,777.4,3700,758,11,3/19/14,Architecture,Liquid,Liquid,Liquiding,United Kingdom,Yes
Girl 4/9, Christa CraftSolid,136.9,3750,745,13,12/31/12,Portrait,Digital,Craft & White Liquid Craft,Digital,United States,Yes
Edgars Wand, Adam Nisenson,4320,3875,633,7,4/30/12,Celebrity,Liquid,Liquid,Collage,United States,No
Triptych , Marijah Bac Cam,445.568,3900,452,14,2/19/16,Graffiti,Liquid,Liquid Craft Gesso,Drawing,France,Yes
Permanent Blow, Rosie Leventon,239731.569,4000,1606,17,3/21/07,Architecture,Solid,Solid,Sculpture,United Kingdom,No
Be Yourself, John Lijo Bluefish,17500,4000,1332,20,1/19/13,Celebrity,Solid,Liquid,Collage,India,No
White Walls, Solveiga Chastres,1862.832,4000,367,9,7/13/15,Abstract,Solid,Liquid Liquid,Liquiding,France,Yes
corps cosmique 5. tirage unique., malek salah,589.152,4000,597,13,5/8/15,Body,Craft,Craft & White Craft Digital Manipulated,Digital,France,No
La Seduccion de Eros y la Muerte, JOSE HUGO SANCHEZ,368.46,4000,1406,13,12/31/69,Abstract,Solid,Solid,Sculpture,United States,No
Craft Storm Crossing, Hooshang Khorasani,1800,4000,220,3,9/24/11,Abstract,Solid,Liquid,Liquiding,United States,No
Coastal, Lynne Haines,4032,4015,297,10,9/30/15,Beach,Liquid,Liquid,Liquiding,United States,No
Safety in Numbers (front), vaughn horsman,891.136,4200,1162,28,3/4/14,Architecture,Solid,Solid,Sculpture,United Kingdom,Yes
Inter 4, Ingrid Christie,4457.568,4300,1197,15,1/24/13,Abstract,Liquid,Liquid,Liquiding,United Kingdom,No
Later Today, Claire Desjardins,4320,4320,4974,35,3/3/13,Abstract,Solid,Liquid,Liquiding,Canada,Yes
Flood situation30, Minji Son,2673.858,4370,287,3,8/31/13,Popular culture,Liquid,Liquid,Liquiding,South Korea,No
Lady Lounge, AswoonSusan Solids,69120,4500,1561,22,4/30/10,Geometric,Solid,Solid,Sculpture,United States,Yes
Boatman. (On the left cheek girl is depicted orange-red asCraft leaf), Peter Heydeck,461.496,4500,2146,14,8/15/13,Fantasy,Craft,Craft,Drawing,Germany,No
Karma, Larisa Ilieva,5160.96,4700,1560,35,9/27/11,Body,Liquid,Liquid Liquid Liquid Solid,Liquiding,France,Yes
Rocking MutAnt, Helmut Palla,17896.116,4800,1322,10,9/22/06,Architecture,Digital,Other Objects,Sculpture,Austria,No
Only What Matters, Michael Cutlip,3456,4800,1163,78,10/31/15,Abstract,Craft,Craft,Collage,United States,No
Summer Rain 1, Liz Barber,5760,4800,521,10,1/13/15,Beach,Liquid,Liquid Other Gesso Liquid Liquid,Liquiding,United States,Yes
November, Eva Cincalova,2005.056,4800,362,5,7/31/13,Beach,Liquid,Liquid,Liquiding,Slovakia,No
Periscope, Galen Cheney,4608,4800,3458,36,2/7/12,Abstract,Liquid,Liquid,Liquiding,United States,Yes
My mOther told me that I never should play with the gypsies in the Solid, Monique van den Hout,821.516,4850,1851,15,6/4/93,Fashion,Solid,Solid,Sculpture,Netherlands,No
Elvis-presley  abstract wall Collage, John Lijo Bluefish,10800,5000,2187,8,7/14/08,Performing Arts,Solid,Liquid,Collage,India,No
CARAPACE , DOMINAULT EVELYNE,60393.108,5000,1185,1,1/2/11,Architecture,Digital,Craft PARTITIONS MUSICALES FEUILLES D,Sculpture,France,No
CARAPACE , DOMINAULT EVELYNE,71276.13,5000,1332,4,3/10/11,Architecture,Digital,Craft Vieux journaux,Sculpture,France,No
776 B.C., Benjamin Hauer,8536.404,5000,2189,14,4/1/12,Sports,Solid,Solid,Sculpture,Germany,No
Meditation in PLiquid, Sahba Shere,5832,5000,167,3,9/14/15,Abstract,Liquid,Liquid Liquid,Liquiding,United States,No
I saw you when  stepped on you, Veri Apriyatno,6985.62,5000,4522,16,7/2/12,Men,Craft,Craft Liquid,Drawing,Indonesia,Yes
new order..... ((SOLD)), Loui Jover,5579.04,5200,5838,93,1/5/15,Women,Digital,Other,Liquiding,Australia,Yes
Zenta II, Marina Troy,3808,5300,980,39,10/9/13,Beach,Liquid,Liquid,Liquiding,United States,No
The Merciless Heropass, Ron Cooper,5779.2,5500,2522,12,9/22/11,Fantasy,Solid,Liquid,Liquiding,United States,Yes
The shadow of a shade, Mikhail Gubin,5643,5500,2373,25,12/31/69,Humor,Solid,Solid,Sculpture,United States,Yes
Desliz II (Slip II), Rossina Bossio,3481.6,5600,949,29,11/14/13,Interiors,Liquid,Liquid Liquid,Liquiding,Colombia,No
Sitting Wheel, Helmut Palla,132042.944,6000,2643,38,7/22/05,Architecture,Solid,Solid,Sculpture,Austria,No
Circus Circus: Somersault, Michael Tierney,122124.24,6000,1646,20,7/30/10,People,Digital,Other Object Lights Screen Craft on MDF Digital Craft,Sculpture,United Kingdom,Yes
me and my arrow, cosimo cavallaro,432,6000,1720,37,5/31/14,Popular culture,Craft,Craft Solid,Sculpture,United States,No
woman with kid (folding screen), Pascal Marlin,4467.96,6200,1461,25,7/31/07,Family,Solid,Liquid Craft Solid,Collage,France,No
Adventure, Jan Herzberg,1394.76,6999,519,10,1/14/13,Beach,Liquid,Liquid Liquid,Liquiding,Switzerland,Yes
LOVE YOUR BEAN shades of gray, cosimo cavallaro,1089,7000,971,10,5/4/13,Culture,Solid,Solid Craft,Sculpture,United States,No
LOVE YOUR BEAN shades of green, cosimo cavallaro,2299,7000,1021,13,5/4/13,Culture,Digital,Craft,Sculpture,United States,No
LOVE YOUR BEAN shades of  pLiquid, cosimo cavallaro,2299,7000,1018,29,5/4/13,Culture,Craft,Craft,Sculpture,United States,No
CHE PALLE - 18 balls Craft, TID The Interior Design,36612.45,7500,1309,25,12/14/14,Architecture,Solid,Solid,Sculpture,Italy,Yes
Tilt Shift, Erin Armstrong,4800,7500,440,16,2/8/16,People,Solid,Liquid,Liquiding,Canada,Yes
Velvet pElvis, Stephan Fowlkes,2304,8000,3602,49,2/21/14,Body,Solid,Solid Craft Solid,Sculpture,United Sates,No
Slow Movers, Art Venti,1176,8000,3453,25,1/30/11,Fantasy,Craft,Craft Craft,Drawing,United Kingdom,No
The oranges, Fine Art Gallery,3643.212,8000,1003,20,2/19/14,Women,Solid,Liquid,Liquiding,Russia,No
3dneonsculpture, Jozef van der Horst,27412.875,8500,989,19,4/5/05,Abstract,Solid,Solid Neon Liquid Solid,Sculpture,Netherlands,No
Rave Wave bench, AswoonSusan Solids,49680,8900,1214,23,1/14/05,Architecture,Digital,Other Media,Sculpture,United States,No
All Shook Up, Ines Kouidis,2605.128,9000,2287,22,5/18/12,Celebrity,Digital,Craft,Collage,Germany,Yes
De la Tour Eiffel - may require londer shipping time, Kathryn Dunlevie,6076,9000,1066,5,8/30/01,Architecture,Digital,Digital,Digital,United States,No
Craft WIDOW, Juan Isasa,250860.282,9500,2314,40,2/23/10,Animal,Solid,Solid Solid,Sculpture,Singapore,No
Rainbow from red, Federico Sarti,342.792,9908,1311,5,3/11/07,Geometric,Craft,Craft,Collage,Italy,No
Where is your face, Vivi Panagiotou,11153.364,10000,390,7,5/11/10,Abstract,Liquid,Liquid,Liquiding,Greece,Yes
Plexi Skull Screen, Matt Enger,12960,11000,2098,55,7/3/12,Mortality,Solid,Solid,Sculpture,United States,No
Friend Project 1, Jim Hake,5740.8,12000,1314,18,3/31/10,People,Digital,Other Media,Sculpture,Canada,No
Horse and Rider, Tage Fredheim,5949.72,12000,292,1,2/28/16,People,Craft,Craft,Drawing,Norway,Yes
Blues Boys, Ines Kouidis,5947.2,13000,2267,31,2/24/14,Celebrity,Digital,Craft,Collage,Germany,Yes
GALAXY Variation 1, Eva Moosbrugger,1014.42,13970,1373,51,2/2/14,Abstract,Solid,Solid,Sculpture,Austria,No
MLiquide Whale Composite Portrait I Craft 2 of 20, Bryant Austin,7375.5,17200,623,17,7/4/09,Animal,Craft,Craft Digital Manipulated,Digital,United States,No
CHOICES, cosimo cavallaro,784,20000,917,15,11/30/13,Popular culture,Solid,Solid steel,Sculpture,United States,No
Chill, Khalid Alzayani,1152,20000,1604,33,5/24/15,Wall,Solid,Liquid Other,Liquiding,United Arab Emirates,Yes
BEACHCOMBINGS SERIES 4, Eva Moosbrugger,2060.352,21000,1113,29,9/1/14,Animal,Solid,Solid Solid,Sculpture,Austria,No
la soglia dell acqua , claudio malacarne,10938.452,28000,1465,45,9/30/13,Beach,Liquid,Liquid,Liquiding,Italy,No
Tragically Gifted, Gareth Jones,83677.86,30000,2634,14,12/31/69,Fantasy,Solid,Solid,Sculpture,United Kingdom,No